id	id_parent	name	kname	original_name	name_aka	vtype	tags	vlink	id_artist	id_original_artist	releasedate	publishedon	views	likes	dislikes	lastupdate	recentviews	recentlikes	awards	regionlocked
9340	9338	Reflection		[뮬란] AKMU 이수현 - '숨겨진 내 모습(Reflection)' MV		duplicate		3J_NvyGVxQQ	691	0	2020-08-31	2020-08-31 00:00:00	227910	1071	7	2022-06-16 18:02:08	2	0	0	
9341	7582	Alien		LEE SUHYUN - 'ALIEN' SELF M/V (YOUTUBE EDITION) | 이수현채널 특별판 셀프뮤비		alternate		t33wNZJf4Pk	691	0	2020-10-23	2020-10-23 00:00:00	1150615	134872	332	2022-06-16 22:46:09	56	4	0	
9343	0	Spring		[M/V] 박봄(PARK BOM) - 봄(Spring) (feat. 산다라박(sandara park))		main		DsouXE31I6k	154	0	2019-03-14	2019-03-14 00:00:00	1185959	52103	175	2022-06-17 10:02:15	1370	20	0	IO,KP,SS
9344	0	Nostalgia		Gain(가인) _ Nostalgia(노스텔지아) (Feat. Eric) MV		main		t3RUxfX-xcE	70	0	2012-11-30	2012-11-30 00:00:00	278122	3876	100	2022-06-17 09:47:14	7	0	0	IO,KP,SS
9345	0	Set Me Free		[MV] Gain (가인) - Set Me Free [VIP OST Part.2]		main	o	RF1BekCRUtA	70	0	2019-11-18	2019-11-18 00:00:00	328483	3842	29	2022-06-16 20:17:58	50	0	0	
9346	0	A Tempo		[MV] Gain(가인) _ A Tempo(아 템포)		main		Sc2I4eU_73A	70	0	2014-03-21	2014-03-21 00:00:00	252744	3494	61	2022-06-17 10:16:12	2	0	0	
9347	0	For You Not To Know		가인 너만은 모르길 M/V Full ver.	I Wish You Wouldn't Know	main		LgWlp8aksg4	70	0	2012-03-21	2012-03-21 00:00:00	838333	4162	65	2022-06-17 12:32:32	16	0	0	
9348	0	Let's Meet When It Turns Twelve	열두 시가 되면	[세로라이브] 가인 - 열두 시가 되면	When The Twelve O'Clock;When It's Twelve O'Clock	main		zlFo8UkqwAc	70	0	2015-12-24	2015-12-24 00:00:00	517888	5772	58	2022-06-17 10:15:07	65	5	0	
9350	2704	Not Him		[M/V] 20 Years of Age(스무살) - Not him(걔 말고)		duplicate		yBejEvtY8Nc	311	0	2021-01-24	2021-01-24 00:00:00	15569	189	6	2022-06-17 08:45:39	22	0	0	
9351	2705	Remind me		[M/V] 20 Years of Age(스무살) - Remind Me(떠올려줘)		duplicate		tRFGc3fMUD0	311	0	2021-01-24	2021-01-24 00:00:00	5127	120	2	2022-06-17 09:02:44	4	0	0	
9352	4913	Workaholic		[M/V] BOL4(볼빨간사춘기) - Workaholic(워커홀릭)		duplicate		t6ImNhfuZnQ	291	0	2021-01-24	2021-01-24 00:00:00	5993	345	3	2022-06-17 09:48:10	8	0	0	
9353	0	I'm Not Cool	암 낫 쿨	현아 (HyunA) - 'I'm Not Cool' MV		main		_yXEnhyOTQo	93	0	2021-01-28	2021-01-28 00:00:00	48359914	2157955	42148	2022-06-16 23:32:50	30314	711	0	KR
9354	0	Asurabalbalta		T1419 "ASURABALBALTA -Japanese Ver.-"  Performance Video		main	j	NN4-VIQcYQk	693	0	2021-01-28	2021-01-28 00:00:00	25507	3824	37	2022-06-16 22:30:08	4	0	0	
9355	9353	I'm Not Cool		I'm Not Cool - HyunA(현아) Performance Clip | NAVER NOW. Edition		alternate		CpsB57hFdUs	93	0	2021-01-28	2021-01-28 00:00:00	2864715	123083	1267	2022-06-17 09:01:20	154	4	0	
9356	9465	Good Girl		GOOD GIRL - HyunA(현아) Performance Clip | NAVER NOW. Edition		alternate	d	_UF8snu_-D0	93	0	2021-01-28	2021-01-28 00:00:00	1528566	84474	562	2022-06-16 15:46:58	71	3	0	
9357	0	Gravity		정기고 (Junggigo) - Gravity MV		main		f7yQI0YjMAs	477	0	2021-01-28	2021-01-28 00:00:00	56848	3327	29	2022-06-17 14:03:12	12	0	0	
9358	9353	I'm Not Cool		HyunA _ I’m Not Cool | 현아 | 스페셜클립 | 퍼포먼스 | Special Clip | Performance | P NATION		alternate		uoZKR8vA1xE	93	0	2021-01-28	2021-01-28 00:00:00	42724201	767464	12709	2022-06-17 05:46:39	27308	244	0	
9359	0	Sign		[MV] DALsooobin(달수빈) _ Sign		main		RoRP8zsp9sw	187	0	2021-01-29	2021-01-29 00:00:00	133871	5894	67	2022-06-17 14:17:42	30	0	0	
9360	0	Up and Down		[MV] Sera(세라) _ Up and Down(오르락 내리락)		main	a	9oS3_8YCtdk	551	0	2020-12-09	2020-12-09 00:00:00	73624	4125	39	2022-06-16 19:02:04	7	0	0	
9361	9194	Celebrity		[최초 공개] 아이유(IU) 'Celebrity' 라이브		alternate		JtFI8dtPvxI	98	0	2021-01-29	2021-01-29 00:00:00	15545171	438907	2873	2022-06-17 05:33:01	9866	80	0	CN
9362	0	Play with life		[MV] HwaSa(화사) _ Play With Life		main	p	Z7eKVpkATo8	287	0	2021-01-29	2021-01-29 00:00:00	5071763	215380	1856	2022-06-17 14:17:44	107	3	0	
9363	9035	Falling		[Special Clip] 유주 (여자친구) - Falling (런 온 OST Part.10) | Yuju - Falling		alternate	o	mkXQ7N5MrfQ	306	0	2021-01-20	2021-01-20 00:00:00	429908	28685	86	2022-06-17 09:47:07	180	9	0	
9364	0	I'm in the mood for dancing	아임 인 더 무드 폴 댄싱	여신강림 OST Part 2 "유주 (여자친구) - I'm in the Mood for Dancing" MV / True Beauty OST Part 2 YUJU MV		main	o	drrOmpcbd8U	306	0	2020-12-17	2020-12-17 00:00:00	9114119	272995	1400	2022-06-17 07:00:17	3205	36	0	
9365	9115	Burn It		골든차일드가 전하는 긍정의 메시지		alternate	h	uNy4k_5WkRE	319	0	2021-01-29	2021-01-29 00:00:00	571461	24739	77	2022-06-17 09:02:48	200	4	0	
9366	8822	Thank U		U-KNOW 유노윤호 'Thank U' Dance Practice		alternate	d	lnuxCaGxAd0	211	0	2021-01-29	2021-01-29 00:00:00	587590	23027	105	2022-06-16 23:30:07	499	2	0	IO,KP,SS
9367	9150	Odd Eye		[릴레이댄스] 드림캐쳐(Dreamcatcher) - Odd Eye (4K)		alternate	rv	35XIso-DViE	56	0	2021-01-29	2021-01-29 00:00:00	1859184	115994	229	2022-06-17 09:02:13	915	27	0	
9368	0	BBB		Dalshabet(Subin) - B.B.B(R&B Ver.)		main	c	kY9OeF92iPA	187	51	2014-02-12	2014-02-12 00:00:00	65113	1318	79	2022-06-16 18:47:08	0	0	0	
9369	0	Today Is		Standing EGG - 사랑한다는말		main		eoyye_HfQbQ	690	0	2010-04-28	2010-04-28 00:00:00	935869	3797	48	2022-06-17 14:00:48	220	0	0	
9370	0	Kiss		standing EGG - Kiss		main		Riut374Tdrk	690	0	2010-06-26	2010-06-26 00:00:00	343115	2759	13	2022-06-16 15:45:09	11	2	0	
9371	0	Have You Ever Fallen In Love		Standing EGG - 사랑에 빠져본 적 있나요 with Ra.D Acoustic Ver.		main		P6szNeO4bpI	690	0	2011-02-09	2011-02-09 00:00:00	575805	3498	16	2022-06-17 14:00:18	8	0	0	
9372	9371	Have You Ever Fallen In Love		standing egg - have you ever fallen in love? (강승윤 ver.)		alternate	c	5vueG1uJUSE	908	690	2011-02-25	2011-02-25 00:00:00	139059	1904	10	2022-06-17 11:46:32	2	2	0	
9373	0	Fly		standing egg - FLY (경기국제항공전 테마송) with Clover		main		Te8RlZr7fc4	690	0	2011-04-13	2011-04-13 00:00:00	132384	791	7	2022-06-16 18:31:38	2	0	0	CN
9374	0	Ache		standing egg - 앓이 with windy		main		yuHlIb6gOWM	690	0	2011-05-03	2011-05-03 00:00:00	306631	1124	18	2022-06-17 14:47:02	4	0	0	
9375	0	The Sunlight Hurts		Standing EGG - 햇살이 아파 with 한소현 (of 3rd Coast)		main		b_xdYFYBaMQ	690	0	2012-04-09	2012-04-09 00:00:00	752542	4536	27	2022-06-17 14:03:08	168	0	0	
